Age	L	M	S	Gender
15.417	-1.235	20.166	0.12796	2
15.5	-1.233	20.206	0.1279	2
15.583	-1.232	20.246	0.12785	2
15.667	-1.231	20.285	0.12779	2
15.75	-1.229	20.324	0.12773	2
15.833	-1.228	20.363	0.12768	2
15.917	-1.226	20.401	0.12762	2
16	-1.225	20.438	0.12757	2
16.083	-1.224	20.475	0.12751	2
16.167	-1.222	20.511	0.12745	2
16.25	-1.221	20.547	0.1274	2
16.333	-1.22	20.582	0.12734	2
16.417	-1.218	20.617	0.12729	2
16.5	-1.217	20.652	0.12723	2
16.583	-1.216	20.685	0.12718	2
16.667	-1.214	20.718	0.12712	2
16.75	-1.213	20.751	0.12707	2
16.833	-1.212	20.783	0.12702	2
16.917	-1.21	20.816	0.12696	2
17	-1.209	20.847	0.12691	2
17.083	-1.208	20.878	0.12686	2
17.167	-1.206	20.908	0.12681	2
17.25	-1.205	20.938	0.12676	2
17.333	-1.204	20.968	0.12671	2
17.417	-1.203	20.997	0.12666	2
17.5	-1.201	21.026	0.1266	2
17.583	-1.2	21.054	0.12656	2
17.667	-1.199	21.082	0.1265	2
17.75	-1.197	21.11	0.12646	2
17.833	-1.196	21.137	0.12641	2
17.917	-1.195	21.164	0.12636	2
18	-1.194	21.19	0.12631	2
18.083	-1.193	21.216	0.12627	2
18.167	-1.191	21.242	0.12622	2
18.25	-1.19	21.267	0.12617	2
18.333	-1.189	21.293	0.12613	2
18.417	-1.188	21.317	0.12608	2
18.5	-1.186	21.342	0.12604	2
18.583	-1.185	21.366	0.126	2
18.667	-1.184	21.39	0.12595	2
18.75	-1.183	21.413	0.12591	2
18.833	-1.181	21.436	0.12587	2
18.917	-1.18	21.459	0.12582	2
19	-1.179	21.482	0.12578	2
19.083	-1.178	21.504	0.12574	2
19.167	-1.177	21.527	0.1257	2
19.25	-1.175	21.548	0.12566	2
19.333	-1.174	21.57	0.12561	2
19.417	-1.173	21.591	0.12558	2
19.5	-1.172	21.612	0.12554	2
19.583	-1.171	21.633	0.1255	2
19.667	-1.169	21.653	0.12546	2
19.75	-1.168	21.674	0.12542	2
19.833	-1.167	21.695	0.12538	2
19.917	-1.166	21.715	0.12534	2
20	-1.165	21.735	0.1253	2
20.083	-1.163	21.755	0.12527	2
20.167	-1.162	21.774	0.12523	2
20.25	-1.161	21.793	0.12519	2
20.333	-1.16	21.813	0.12516	2
20.417	-1.159	21.832	0.12512	2
20.5	-1.158	21.851	0.12508	2
20.583	-1.156	21.87	0.12505	2
20.667	-1.155	21.888	0.12501	2
20.75	-1.154	21.907	0.12498	2
20.833	-1.153	21.925	0.12494	2
20.917	-1.152	21.943	0.1249	2
21	-1.151	21.961	0.12487	2
21.083	-1.149	21.979	0.12484	2
